ethnic_code,description
mbo,Mbochi
mbu,Mbundu-Mestico
mdf,Mokshas
mdh,Madhesi
mdi,Madi
mdr,Mandar
men,Mende
mia,Miao
mic,Mi’kmaq
mij,Mijikenda
min,Minangkabau
miz,Mizo
mla,Mulatto
mld,Mole-Dagbani
mlg,Malagasy
mlo,Mulao
mlt,Maltese
mnc,Manchu
mnd,Mande
mng,Mananja-Nayanja
mnh,Minahasa
mni,Manipuri
mnj,Manjack (Manjaco)
mnn,Mano
mno,Lumad
mns,Mon
mny,Manyika
moh,Mohajirs / Mohawk
mok,Makonde (Makonde-Yao)
mon,Maonan / Mongol (Mongolians)
mos,Mossi
mro,Moro
msk,Miskito
mtn,Montenegrins
mtz,Mestizo
mun,Munda
muo,Muong
mus,Muscogee
mwl,Mirandese
mwr,Marwaris
mya,Mayangnas
mye,Myene
myn,Maya
myv,Mordvins (Mordva)
nag,Naga
nah,Nahua
nai,Native American
nam,Nama
nap,Neapolitan
nau,Nauruan
nav,Navajo
nax,Nakhi (Naxi)
nba,Nuba
nbl,South Ndebele
nca,Nicaraguan
nde,Northern Ndebele
ndo,Ndonga
nep,Nepali
ner,Nuer
new,Newars
ngn,Ngbandi
ngo,Ngoni
nia,Niasans
nib,Nibolek
nir,Niari
niu,Niuean
nkm,Nkomi
nng,Nung
nog,Nogais
nor,Norwegians
nso,Northern Sotho
nub,Nubian
nur,Nuristani
nuu,Nu
nya,Chewa (Nyanja speakers)
nyk,Nyakyusa
nym,Nyamwezi
nyn,Ankole
nyo,Nyoro
nze,New Zealanders
nzi,Nzema
oci,Occitanians
ogo,Ogoni
oji,Ojibwe
oki,Okinawan
ori,Oriya
orm,Oromo
oru,Orgunu
osa,Osage
oss,Ossetians (Ossetes)
oto,Otomi
ova,Ovambo
paa,Papuan (Papua)
pac,Pacific Islanders
pag,Pangasinan
pal,Palestinian
pam,Kapampangan
pan,Punjabi
pap,Papiamento-Creole
par,Paraguayan
pau,Palauan
per,Persian
phu,Puthai (Phuthai)
pnm,Panamanians
pol,Poles
pom,Pomaks
pon,Pehnpeian
por,Portuguese
ppl,Papel
pru,Peruvian
psh,Pashayi (Pashai)
pum,Pumi
pus,Pashtun
qia,Qiang
qiz,Qizilbash
que,Quechua
raj,Rajasthani
ran,Pahari Rajput (Rana/Thakuri)
rap,Rapa Nui
rar,Cook Islands Maori
roh,Romansh
rom,Romani (Roma)
rum,Romanian
run,Rundi
rup,Aromanians
rus,Russian
sad,Sandawe
sag,Sango
sah,Yakuts
sal,Salish
sar,Sara
sas,Sasak
sat,Sudanese
scn,Sicilian
sco,Scottish (Scots)
sel,Selkup
sen,Sena
she,She
shl,Shilluk
shn,Shan
shy,Shaigiya
sid,Sidama
sin,Sinhalese
sio,Siouan
sla,Slavic
slo,Slovaks
slr,Salar
slv,Slovenes
smi,Sami
smo,Samoans
sna,Shona (Ndau)
snd,Sindhi
snk,Soninke
som,Somali
son,Songhai
sot,Sotho
spa,Spanish
srd,Sardinian
srn,Sranan Tongo
srp,Serbs
srr,Serer
ssw,Swazi
sui,Sui
suk,Sukama
sus,Susu
swa,Swahili
swe,Swedes
swf,Swiss French
swt,Swiss Italian
tab,Tabasaran
tah,Tahitian
tai,Tai (Tha/Tai-Lu/Tai-Yuan)
tam,Tamil
tat,Tatars
taw,Tawahka
tay,Tay
tel,Telugu
tem,Temne
ter,Terenan
tes,Teso
tet,Tetum
tgk,Tajik (Pamir Tajiks)
tgl,Tagalog
tha,Thai
tib,Tibetan
tig,Tigre
tir,Tigray-Tigrinya (Tigry)
tiv,Tiv
tkl,Tokelauan
tli,Tlingit
tmh,Tuareg
tms,Tama
tog,Tonga (Africa)
ton,Tonga (Pacific)
tor,Tooro
tou,Toubou
tpi,Tok Pisin
tra,Transnistrians
tri,Tripuri
trn,Ternate
tsi,Tsimshian
tsn,Tswana
tso,Tsonga (Tsonga-Chopi)
tts,Tutsi (Tutsi-Banyamulenge)
tuj,Tujia
tuk,Turkmen
tum,Tumbuka
tup,Tupi (Tupi-Guarani)
tur,Turkish (Turks)
tuu,Mongour (Tu)
tvl,Tuvaluans
twi,Ashanti
twn,Taiwanese
tyv,Tuvans (Tuvinians)
udm,Udmurt
uig,Uyghur (Uighur)
ukr,Ukranian
umb,Southern Mbundu
urd,Urdu
uzb,Uzbeks
vaa,Va (Wa)
vai,Vai
ven,Venda
vie,Vietnamese (Kinh)
vil,Vili
vnz,Venezuelan
vot,Votes
wak,Wakashan
wal,Welayta
war,Waray
was,Washoe
wel,Welsh
wen,Sorbs
whi,Whites
wln,Walloons
wol,Wolof
xal,Kalmyk
xho,Xhosa
xib,Xibe
xnc,Xinca
yao,Yao (Africa)
yap,Yapese
yor,Yoruba
ypk,Yupik
yug,Yugur
zag,Zaghawa
zap,Zapotec
zay,Zaidiyya (Zaydis)
zen,Zenaga
zha,Zhuang
znd,Azande (Azande-Mangbetu)
zom,Zomi (Chins)
zul,Zulu
zun,Zuni
zza,Zaza
